% Copyright (C) 2001-2018 Artifex Software, Inc.
% All Rights Reserved.
%
% This software is provided AS-IS with no warranty, either express or
% implied.
%
% This software is distributed under license and may not be copied,
% modified or distributed except as expressly authorized under the terms
% of the license contained in the file LICENSE in this distribution.
%
% Refer to licensing information at http://www.artifex.com or contact
% Artifex Software, Inc.,  1305 Grant Avenue - Suite 200, Novato,
% CA 94945, U.S.A., +1(415)492-9861, for further information.
%
%
% Unicode Decoding
% Maps PS and TT names to Unicode UTF-16.

% The file is in tabular format, with columns separated by exactly 2 spaces.
% The 1st column is the Unicode value assigned to all names in that row.
% The other columns contain glyph names based on the source these names
% came from; if a column contains more than 1 name, these are separated by
% exactly one space. So, WHITESPACE IS SIGNIFICANT (for documenting/editing purposes).
%
% The sources of glyph names in the current version of this file are, in column order:
%
% [AGLFN] Adobe Glyph List For New Fonts v1.7 dated November 6, 2008
%         http://www.adobe.com/devnet-archive/opentype/archives/aglfn.txt
% [AGLv2] Adobe Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/glyphlist.txt
%         - this list is a strict superset of [AGLFN], and only names that are not
%           already in [AGLFN] are present in this column.
%         - mappings to sequences of UVs (decomposed ligatures) are
%           commented out with a "%L#" at the beginning of the line.
% [ZDGL2] ITC Zapf Dingbats Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/zapfdingbats.txt
% [R9887] All names that were present in SVN revision 9887 of this file and
%         are not included in any of the lists above.
%
%/Unicode         % resource name
%6514             % # of names
%/ParseDecoding /ProcSet findresource /Parse get exec
%
16#0000        .null NUL
16#311E    aibopomofo
16#311F    eibopomofo
16#3120    aubopomofo
16#3121    oubopomofo
16#3122    anbopomofo
16#3123    enbopomofo
16#3124    angbopomofo
16#3125    engbopomofo
16#3126    erbopomofo
16#3127    ibopomofo
16#3128    ubopomofo
16#3129    iubopomofo
16#3131    kiyeokkorean
16#3132    ssangkiyeokkorean
16#3133    kiyeoksioskorean
16#3134    nieunkorean
16#3135    nieuncieuckorean
16#3136    nieunhieuhkorean
16#3137    tikeutkorean
16#3138    ssangtikeutkorean
16#3139    rieulkorean
16#313A    rieulkiyeokkorean
16#313B    rieulmieumkorean
16#313C    rieulpieupkorean
16#313D    rieulsioskorean
16#313E    rieulthieuthkorean
16#313F    rieulphieuphkorean
16#3140    rieulhieuhkorean
16#3141    mieumkorean
16#3142    pieupkorean
16#3143    ssangpieupkorean
16#3144    pieupsioskorean
16#3145    sioskorean
16#3146    ssangsioskorean
16#3147    ieungkorean
16#3148    cieuckorean
16#3149    ssangcieuckorean
16#314A    chieuchkorean
16#314B    khieukhkorean
16#314C    thieuthkorean
16#314D    phieuphkorean
16#314E    hieuhkorean
16#314F    akorean
16#3150    aekorean
16#3151    yakorean
16#3152    yaekorean
16#3153    eokorean
16#3154    ekorean
16#3155    yeokorean
16#3156    yekorean
16#3157    okorean
16#3158    wakorean
16#3159    waekorean
16#315A    oekorean
16#315B    yokorean
16#315C    ukorean
16#315D    weokorean
16#315E    wekorean
16#315F    wikorean
16#3160    yukorean
16#3161    eukorean
16#3162    yikorean
16#3163    ikorean
16#3164    hangulfiller
16#3165    ssangnieunkorean
16#3166    nieuntikeutkorean
16#3167    nieunsioskorean
16#3168    nieunpansioskorean
16#3169    rieulkiyeoksioskorean
16#316A    rieultikeutkorean
16#316B    rieulpieupsioskorean
16#316C    rieulpansioskorean
16#316D    rieulyeorinhieuhkorean
16#316E    mieumpieupkorean
16#316F    mieumsioskorean
16#3170    mieumpansioskorean
16#3171    kapyeounmieumkorean
16#3172    pieupkiyeokkorean
16#3173    pieuptikeutkorean
16#3174    pieupsioskiyeokkorean
16#3175    pieupsiostikeutkorean
16#3176    pieupcieuckorean
16#3177    pieupthieuthkorean
16#3178    kapyeounpieupkorean
16#3179    kapyeounssangpieupkorean
16#317A    sioskiyeokkorean
16#317B    siosnieunkorean
16#317C    siostikeutkorean
16#317D    siospieupkorean
16#317E    sioscieuckorean
16#317F    pansioskorean
16#3180    ssangieungkorean
16#3181    yesieungkorean
16#3182    yesieungsioskorean
16#3183    yesieungpansioskorean
16#3184    kapyeounphieuphkorean
16#3185    ssanghieuhkorean
16#3186    yeorinhieuhkorean
16#3187    yoyakorean
16#3188    yoyaekorean
16#3189    yoikorean
16#318A    yuyeokorean
16#318B    yuyekorean
16#318C    yuikorean
16#318D    araeakorean
16#318E    araeaekorean
16#3200    kiyeokparenkorean
16#3201    nieunparenkorean
16#3202    tikeutparenkorean
16#3203    rieulparenkorean
16#3204    mieumparenkorean
16#3205    pieupparenkorean
16#3206    siosparenkorean
16#3207    ieungparenkorean
16#3208    cieucparenkorean
16#3209    chieuchparenkorean
16#320A    khieukhparenkorean
16#320B    thieuthparenkorean
16#320C    phieuphparenkorean
16#320D    hieuhparenkorean
16#320E    kiyeokaparenkorean
16#320F    nieunaparenkorean
16#3210    tikeutaparenkorean
16#3211    rieulaparenkorean
16#3212    mieumaparenkorean
16#3213    pieupaparenkorean
16#3214    siosaparenkorean
16#3215    ieungaparenkorean
16#3216    cieucaparenkorean
16#3217    chieuchaparenkorean
16#3218    khieukhaparenkorean
16#3219    thieuthaparenkorean
16#321A    phieuphaparenkorean
16#321B    hieuhaparenkorean
16#321C    cieucuparenkorean
16#3220    oneideographicparen
16#3221    twoideographicparen
16#3222    threeideographicparen
16#3223    fourideographicparen
16#3224    fiveideographicparen
16#3225    sixideographicparen
16#3226    sevenideographicparen
16#3227    eightideographicparen
16#3228    nineideographicparen
16#3229    tenideographicparen
16#322A    ideographicmoonparen
16#322B    ideographicfireparen
16#322C    ideographicwaterparen
16#322D    ideographicwoodparen
16#322E    ideographicmetalparen
16#322F    ideographicearthparen
16#3230    ideographicsunparen
16#3231    ideographicstockparen
16#3232    ideographichaveparen
16#3233    ideographicsocietyparen
16#3234    ideographicnameparen
16#3235    ideographicspecialparen
16#3236    ideographicfinancialparen
16#3237    ideographiccongratulationparen
16#3238    ideographiclaborparen
16#3239    ideographicrepresentparen
16#323A    ideographiccallparen
16#323B    ideographicstudyparen
16#323C    ideographicsuperviseparen
16#323D    ideographicenterpriseparen
16#323E    ideographicresourceparen
16#323F    ideographicallianceparen
16#3240    ideographicfestivalparen
16#3242    ideographicselfparen
16#3243    ideographicreachparen
16#3260    kiyeokcirclekorean
16#3261    nieuncirclekorean
16#3262    tikeutcirclekorean
16#3263    rieulcirclekorean
16#3264    mieumcirclekorean
16#3265    pieupcirclekorean
16#3266    sioscirclekorean
16#3267    ieungcirclekorean
16#3268    cieuccirclekorean
16#3269    chieuchcirclekorean
16#326A    khieukhcirclekorean
16#326B    thieuthcirclekorean
16#326C    phieuphcirclekorean
16#326D    hieuhcirclekorean
16#326E    kiyeokacirclekorean
16#326F    nieunacirclekorean
16#3270    tikeutacirclekorean
16#3271    rieulacirclekorean
16#3272    mieumacirclekorean
16#3273    pieupacirclekorean
16#3274    siosacirclekorean
16#3275    ieungacirclekorean
16#3276    cieucacirclekorean
16#3277    chieuchacirclekorean
16#3278    khieukhacirclekorean
16#3279    thieuthacirclekorean
16#327A    phieuphacirclekorean
16#327B    hieuhacirclekorean
16#327F    koreanstandardsymbol
16#328A    ideographmooncircle
16#328B    ideographfirecircle
16#328C    ideographwatercircle
16#328D    ideographwoodcircle
16#328E    ideographmetalcircle
16#328F    ideographearthcircle
16#3290    ideographsuncircle
16#3294    ideographnamecircle
16#3296    ideographicfinancialcircle
16#3298    ideographiclaborcircle
16#3299    ideographicsecretcircle
16#329D    ideographicexcellentcircle
16#329E    ideographicprintcircle
16#32A3    ideographiccorrectcircle
16#32A4    ideographichighcircle
16#32A5    ideographiccentrecircle
16#32A6    ideographiclowcircle
16#32A7    ideographicleftcircle
16#32A8    ideographicrightcircle
16#32A9    ideographicmedicinecircle
16#3300    apaatosquare
16#3303    aarusquare
16#3305    intisquare
16#330D    karoriisquare
16#3314    kirosquare
16#3315    kiroguramusquare
16#3316    kiromeetorusquare
16#3318    guramusquare
16#331E    kooposquare
16#3322    sentisquare
16#3323    sentosquare
16#3326    dorusquare
16#3327    tonsquare
16#332A    haitusquare
16#332B    paasentosquare
16#3331    birusquare
16#3333    huiitosquare
16#3336    hekutaarusquare
16#3339    herutusquare
16#333B    peezisquare
16#3342    hoonsquare
16#3347    mansyonsquare
16#3349    mirisquare
16#334A    miribaarusquare
16#334D    meetorusquare
16#334E    yaadosquare
16#3351    rittorusquare
16#3357    wattosquare
16#337B    heiseierasquare
16#337C    syouwaerasquare
16#337D    taisyouerasquare
16#337E    meizierasquare
16#337F    corporationsquare
16#3380    paampssquare
16#3381    nasquare
16#3382    muasquare
16#3383    masquare
16#3384    kasquare
16#3385    KBsquare
16#3386    MBsquare
16#3387    GBsquare
16#3388    calsquare
16#3389    kcalsquare
16#338A    pfsquare
16#338B    nfsquare
16#338C    mufsquare
16#338D    mugsquare
16#338E    squaremg
16#338F    squarekg
16#3390    Hzsquare
16#3391    khzsquare
16#3392    mhzsquare
16#3393    ghzsquare
16#3394    thzsquare
16#3395    mulsquare
16#3396    mlsquare
16#3397    dlsquare
16#3398    klsquare
16#3399    fmsquare
16#339A    nmsquare
16#339B    mumsquare
16#339C    squaremm
16#339D    squarecm
16#339E    squarekm
16#339F    mmsquaredsquare
16#33A0    cmsquaredsquare
16#33A1    squaremsquared
16#33A2    kmsquaredsquare
16#33A3    mmcubedsquare
16#33A4    cmcubedsquare
16#33A5    mcubedsquare
16#33A6    kmcubedsquare
16#33A7    moverssquare
16#33A8    moverssquaredsquare
16#33A9    pasquare
16#33AA    kpasquare
16#33AB    mpasquare
16#33AC    gpasquare
16#33AD    radsquare
16#33AE    radoverssquare
16#33AF    radoverssquaredsquare
16#33B0    pssquare
16#33B1    nssquare
16#33B2    mussquare
16#33B3    mssquare
16#33B4    pvsquare
16#33B5    nvsquare
16#33B6    muvsquare
16#33B7    mvsquare
16#33B8    kvsquare
16#33B9    mvmegasquare
16#33BA    pwsquare
16#33BB    nwsquare
16#33BC    muwsquare
16#33BD    mwsquare
16#33BE    kwsquare
16#33BF    mwmegasquare
16#33C0    kohmsquare
16#33C1    mohmsquare
16#33C2    amsquare
16#33C3    bqsquare
16#33C4    squarecc
16#33C5    cdsquare
16#33C6    coverkgsquare
16#33C7    cosquare
16#33C8    dbsquare
16#33C9    gysquare
16#33CA    hasquare
16#33CB    HPsquare
16#33CD    KKsquare
16#33CE    squarekmcapital
16#33CF    ktsquare
16#33D0    lmsquare
16#33D1    squareln
16#33D2    squarelog
16#33D3    lxsquare
16#33D4    mbsquare
16#33D5    squaremil
16#33D6    molsquare
16#33D8    pmsquare
16#33DB    srsquare
16#33DC    svsquare
16#33DD    wbsquare
16#5344    twentyhangzhou
16#E802        finalkafwithsheva
16#E803        finalkafwithqamats
16#E804        lamedwithholam
16#E805        lamedwithdageshandholam
16#E811        lamwithmeemwithjeeminitial
16#E812        behwithhehinitial
16#E813        pehwithhehinitial
16#E814        tehwithhehinitial
16#E815        noonwithhehinitial
16#E816        rayaleflam
16#E818        shaddawithfathatanisolated
16#E820        fathalow
16#E821        dammalow
16#E822        sukunlow
16#E823        fathatanlow
16#E824        dammatanlow
16#E825        shaddalow
16#E826        kasralow
16#E827        kasratanlow
16#E828        shaddawithfathalow shaddawithfathaisolatedlow
16#E829        shaddawithdammalow shaddawithdammaisolatedlow
16#E82A        shaddawithfathatanisolatedlow shaddawithfathatanlow
16#E82B        shaddawithdammatanisolatedlow shaddawithdammatanlow
16#E82C        shaddawithkasraisolatedlow shaddawithkasralow
16#E82D        shaddawithkasratanisolatedlow shaddawithkasratanlow
16#E832        fathaonhamza
16#E833        fathatanonhamza
16#E834        sukunonhamza
16#E835        dammaonhamza
16#E836        dammatanonhamza
16#F003        circumflex1
16#F004        tilde1
16#F005        dieresis1
16#F006        breve1
16#F007        ring1
16#F008        cedilla1
16#F009        hungarumlaut1
16#F00A        caron1
16#F00D        cedilla2
16#F6BE    dotlessj
16#F6BF    LL
16#F6C0    ll
16#F6C3    commaaccent
16#F6C4    afii10063
16#F6C5    afii10064
16#F6C6    afii10192
16#F6C7    afii10831
16#F6C8    afii10832
16#F6C9    Acute
16#F6CA    Caron
16#F6CB    Dieresis
16#F6CC    DieresisAcute
16#F6CD    DieresisGrave
16#F6CE    Grave
16#F6CF    Hungarumlaut
16#F6D0    Macron
16#F6D1    cyrBreve
16#F6D2    cyrFlex
16#F6D3    dblGrave
16#F6D4    cyrbreve
16#F6D5    cyrflex
16#F6D6    dblgrave
16#F6D7    dieresisacute
16#F6D8    dieresisgrave
16#F6D9    copyrightserif
16#F6DA    registerserif
16#F6DB    trademarkserif
16#F6DC    onefitted
16#F6DD    rupiah
16#F6DE    threequartersemdash
16#F6DF    centinferior
16#F6E0    centsuperior
16#F6E1    commainferior
16#F6E2    commasuperior
16#F6E3    dollarinferior
16#F6E4    dollarsuperior
16#F6E5    hypheninferior
16#F6E6    hyphensuperior
16#F6E7    periodinferior
16#F6E8    periodsuperior
16#F6E9    asuperior
16#F6EA    bsuperior
16#F6EB    dsuperior
16#F6EC    esuperior
16#F6ED    isuperior
16#F6EE    lsuperior
16#F6EF    msuperior
16#F6F0    osuperior
16#F6F1    rsuperior
16#F6F2    ssuperior
16#F6F3    tsuperior
16#F6F4    Brevesmall
16#F6F5    Caronsmall
16#F6F6    Circumflexsmall
16#F6F7    Dotaccentsmall
16#F6F8    Hungarumlautsmall
16#F6F9    Lslashsmall
16#F6FA    OEsmall
16#F6FB    Ogoneksmall
16#F6FC    Ringsmall
16#F6FD    Scaronsmall
16#F6FE    Tildesmall
16#F6FF    Zcaronsmall
16#F700        f700
16#F701        f701
16#F702        f702
16#F703        f703
16#F704        f704
16#F705        f705
16#F706        f706
16#F707        f707
16#F708        f708
16#F709        f709
16#F70A        f70a
16#F70B        f70b
16#F70C        f70c
16#F70D        f70d
16#F70E        f70e
16#F70F        f70f
16#F710        f710
16#F711        f711
16#F712        f712
16#F713        f713
16#F714        f714
16#F715        f715
16#F716        f716
16#F717        f717
16#F718        f718
16#F719        f719
16#F71A        f71a
16#F71C        f71c
16#F71D        f71d
16#F721    exclamsmall
16#F724    dollaroldstyle
16#F726    ampersandsmall
16#F730    zerooldstyle
16#F731    oneoldstyle
16#F732    twooldstyle
16#F733    threeoldstyle
16#F734    fouroldstyle
16#F735    fiveoldstyle
16#F736    sixoldstyle
16#F737    sevenoldstyle
16#F738    eightoldstyle
16#F739    nineoldstyle
16#F73F    questionsmall
16#F760    Gravesmall
16#F761    Asmall
16#F762    Bsmall
16#F763    Csmall
16#F764    Dsmall
16#F765    Esmall
16#F766    Fsmall
16#F767    Gsmall
16#F768    Hsmall
16#F769    Ismall
16#F76A    Jsmall
16#F76B    Ksmall
16#F76C    Lsmall
16#F76D    Msmall
16#F76E    Nsmall
16#F76F    Osmall
16#F770    Psmall
16#F771    Qsmall
16#F772    Rsmall
16#F773    Ssmall
16#F774    Tsmall
16#F775    Usmall
16#F776    Vsmall
16#F777    Wsmall
16#F778    Xsmall
16#F779    Ysmall
16#F77A    Zsmall
16#F7A1    exclamdownsmall
16#F7A2    centoldstyle
16#F7A8    Dieresissmall
16#F7AF    Macronsmall
16#F7B4    Acutesmall
16#F7B8    Cedillasmall
16#F7BF    questiondownsmall
16#F7E0    Agravesmall
16#F7E1    Aacutesmall
16#F7E2    Acircumflexsmall
16#F7E3    Atildesmall
16#F7E4    Adieresissmall
16#F7E5    Aringsmall
16#F7E6    AEsmall
16#F7E7    Ccedillasmall
16#F7E8    Egravesmall
16#F7E9    Eacutesmall
16#F7EA    Ecircumflexsmall
16#F7EB    Edieresissmall
16#F7EC    Igravesmall
16#F7ED    Iacutesmall
16#F7EE    Icircumflexsmall
16#F7EF    Idieresissmall
16#F7F0    Ethsmall
16#F7F1    Ntildesmall
16#F7F2    Ogravesmall
16#F7F3    Oacutesmall
16#F7F4    Ocircumflexsmall
16#F7F5    Otildesmall
16#F7F6    Odieresissmall
16#F7F8    Oslashsmall
16#F7F9    Ugravesmall
16#F7FA    Uacutesmall
16#F7FB    Ucircumflexsmall
16#F7FC    Udieresissmall
16#F7FD    Yacutesmall
16#F7FE    Thornsmall
16#F7FF    Ydieresissmall
16#F810        Dcaron1
16#F811        dcaron1
16#F812        Lcaron1
16#F813        lcaron1
16#F814        Tcaron1
16#F815        tcaron1 tcaronaltone
16#F816        Scedilla1
16#F817        scedilla1
16#F818        Tcedilla1 Kcedilla1
16#F819        kcedilla1 tcedilla1
16#F81A        Lcedilla1 gcedilla1
16#F81B        lcedilla1 peso1 pesoph
16#F81C        Ncedilla1
16#F81D        ncedilla1
16#F81E        Rcedilla1
16#F81F        rcedilla1
16#F820        dotcircle1
16#F821        ltshade1
16#F822        shade1
16#F823        dkshade1
16#F830        logonek
16#F831        Rcircumflex
16#F832        rcircumflex
16#F833        Ucedilla
16#F834        ucedilla
16#F884    maihanakatleftthai
16#F885    saraileftthai
16#F886    saraiileftthai
16#F887    saraueleftthai
16#F888    saraueeleftthai
16#F889    maitaikhuleftthai
16#F88A    maiekupperleftthai
16#F88B    maieklowrightthai
16#F88C    maieklowleftthai
16#F88D    maithoupperleftthai
16#F88E    maitholowrightthai
16#F88F    maitholowleftthai
16#F890    maitriupperleftthai
16#F891    maitrilowrightthai
16#F892    maitrilowleftthai
16#F893    maichattawaupperleftthai
16#F894    maichattawalowrightthai
16#F895    maichattawalowleftthai
16#F896    thanthakhatupperleftthai
16#F897    thanthakhatlowrightthai
16#F898    thanthakhatlowleftthai
16#F899    nikhahitleftthai
16#F8E5    radicalex
16#F8E6    arrowvertex
16#F8E7    arrowhorizex
16#F8E8    registersans
16#F8E9    copyrightsans
16#F8EA    trademarksans
16#F8EB    parenlefttp
16#F8EC    parenleftex
16#F8ED    parenleftbt
16#F8EE    bracketlefttp
16#F8EF    bracketleftex
16#F8F0    bracketleftbt
16#F8F1    bracelefttp
16#F8F2    braceleftmid
16#F8F3    braceleftbt
16#F8F4    braceex
16#F8F5    integralex
16#F8F6    parenrighttp    help
16#F8F7    parenrightex
16#F8F8    parenrightbt
16#F8F9    bracketrighttp    power
16#F8FA    bracketrightex
16#F8FB    bracketrightbt    contextmenu
16#F8FC    bracerighttp    carriagereturnleft
16#F8FD    bracerightmid    enter
16#F8FE    bracerightbt    appleopen
16#F8FF    apple
16#FB00    ff	f_f
16#FB01    fi	f_i
16#FB02    fl	f_l
16#FB03    ffi	f_f_i
16#FB04    ffl	f_f_l
16#FB05        slongt longst
16#FB06        st
16#FB1E        varika
16#FB1F    afii57705 doubleyodpatah doubleyodpatahhebrew yodyodpatahhebrew
16#FB20    ayinaltonehebrew    alternativeayin
16#FB2A    afii57694 shinshindot shinshindothebrew    shinwithshindot
16#FB2B    afii57695 shinsindot shinsindothebrew    shinwithsindot
16#FB2C    shindageshshindot shindageshshindothebrew    shinwithdageshandshindot
16#FB2D    shindageshsindot shindageshsindothebrew    shinwithdageshandsindot
16#FB2E    alefpatahhebrew    alefwithpatah
16#FB2F    alefqamatshebrew    alefwithqamats
16#FB30    alefdageshhebrew    alefwithmapiq
16#FB31    betdagesh betdageshhebrew    betwithdagesh
16#FB32    gimeldagesh gimeldageshhebrew    gimelwithdagesh
16#FB33    daletdagesh daletdageshhebrew    daletwithdagesh
16#FB34    hedagesh hedageshhebrew    hewithmapiq
16#FB35    afii57723 vavdagesh vavdagesh65 vavdageshhebrew    vavwithdagesh
16#FB36    zayindagesh zayindageshhebrew    zayinwithdagesh
16#FB38    tetdagesh tetdageshhebrew    tetwithdagesh
16#FB39    yoddagesh yoddageshhebrew    yodwithdagesh
16#FB3A    finalkafdagesh finalkafdageshhebrew    finalkafwithdagesh
16#FB3B    kafdagesh kafdageshhebrew    kafwithdagesh
16#FB3C    lameddagesh lameddageshhebrew    lamedwithdagesh
16#FB3E    memdagesh memdageshhebrew    memwithdagesh
16#FB40    nundagesh nundageshhebrew    nunwithdagesh
16#FB41    samekhdagesh samekhdageshhebrew    samekhwithdagesh
16#FB43    pefinaldageshhebrew    finalpewithdagesh
16#FB44    pedagesh pedageshhebrew    pewithdagesh
16#FB46    tsadidagesh tsadidageshhebrew    tsadiwithdagesh
16#FB47    qofdagesh qofdageshhebrew    qofwithdagesh
16#FB48    reshdageshhebrew    reshwithdagesh
16#FB49    shindagesh shindageshhebrew    shinwithdagesh
16#FB4A    tavdages tavdagesh tavdageshhebrew    tavwithdagesh
16#FB4B    afii57700 vavholam vavholamhebrew    vavwithholam
16#FB4C    betrafehebrew    betwithrafe
16#FB4D    kafrafehebrew    kafwithrafe
16#FB4E    perafehebrew    pewithrafe
16#FB4F    aleflamedhebrew    aleflamed
16#FB50        alefwaslaisolated
16#FB51        alefwaslafinal
16#FB56        pehisolated
16#FB57    pehfinalarabic    pehfinal
16#FB58    pehinitialarabic    pehinitial
16#FB59    pehmedialarabic    pehmedial
16#FB67    ttehfinalarabic
16#FB68    ttehinitialarabic
16#FB69    ttehmedialarabic
16#FB6A        vehisolated
16#FB6B    vehfinalarabic    vehfinal
16#FB6C    vehinitialarabic    vehinitial
16#FB6D    vehmedialarabic    vehmedial
16#FB7A        tchehisolated
16#FB7B    tchehfinalarabic    tchehfinal
16#FB7C    tchehinitialarabic    tchehinitial
%L#FB7C_FEE4    tchehmeeminitialarabic
16#FB7D    tchehmedialarabic    tchehmedial
16#FB89    ddalfinalarabic
16#FB8A        jehisolated
16#FB8B    jehfinalarabic    jehfinal
16#FB8D    rrehfinalarabic
16#FB8E        kehehisolated
16#FB8F        kehehfinal
16#FB90        kehehinitial
16#FB91        kehehmedial
16#FB92        gafisolated
16#FB93    gaffinalarabic    gaffinal
16#FB94    gafinitialarabic    gafinitial
16#FB95    gafmedialarabic    gafmedial
16#FB9F    noonghunnafinalarabic
16#FBA4    hehhamzaaboveisolatedarabic
16#FBA5    hehhamzaabovefinalarabic
16#FBA7    hehfinalaltonearabic
16#FBA8    hehinitialaltonearabic
16#FBA9    hehmedialaltonearabic
16#FBAF    yehbarreefinalarabic
16#FBFC        farsiyehisolated
16#FBFD        farsiyehfinal
16#FC08    behmeemisolatedarabic    behwithmeemisolated
16#FC09        behwithalefmaksuraisolated
16#FC0A        behwithyehisolated
16#FC0B    tehjeemisolatedarabic
16#FC0C    tehhahisolatedarabic
16#FC0E    tehmeemisolatedarabic    tehwithmeemisolated
16#FC10        tehwithyehisolated
16#FC12        thehwithmeemisolated
16#FC31        fehwithalefmaksuraisolated
16#FC32        fehwithyehisolated
16#FC3F        lamwithjeemisolated
16#FC40        lamwithhahisolated
16#FC41        lamwithkhahisolated
16#FC42        lamwithmeemisolated
16#FC43        lamwithalefmaksuraisolated
16#FC44        lamwithyehisolated
16#FC48    meemmeemisolatedarabic
16#FC4B    noonjeemisolatedarabic
16#FC4E    noonmeemisolatedarabic    noonwithmeemisolated
16#FC4F        noonwithalefmaksuraisolated
16#FC50        noonwithyehisolated
16#FC58    yehmeemisolatedarabic    yehwithmeemisolated
16#FC59        yehwithalefmaksuraisolated
16#FC5E    shaddadammatanarabic    shaddawithdammatanisolated
16#FC5F    shaddakasratanarabic    shaddawithkasratanisolated
16#FC60    shaddafathaarabic    shaddawithfathaisolated
16#FC61    shaddadammaarabic    shaddawithdammaisolated
16#FC62    shaddakasraarabic    shaddawithkasraisolated
16#FC6A        behwithrehfinal
16#FC6D    behnoonfinalarabic    behwithnoonfinal
16#FC6E        behwithalefmaksurafinal
16#FC6F        behwithyehfinal
16#FC70        noonwithzainfinal
16#FC73    tehnoonfinalarabic    tehwithnoonfinal
16#FC74        tehwithalefmaksurafinal
16#FC75        tehwithyehfinal
16#FC8D    noonnoonfinalarabic
16#FC8E        noonwithalefmaksurafinal
16#FC8F        noonwithyehfinal
16#FC91        yehwithrehfinal
16#FC94    yehnoonfinalarabic    yehwithnoonfinal
16#FC95        yehwithalefmaksurafinal
16#FC9C        behwithjeeminitial
16#FC9D        behwithhahinitial
16#FC9E        behwithkhahinitial
16#FC9F    behmeeminitialarabic    behwithmeeminitial
16#FCA1    tehjeeminitialarabic    tehwithjeeminitial
16#FCA2    tehhahinitialarabic    tehwithhahinitial
16#FCA3        tehwithkhahinitial
16#FCA4    tehmeeminitialarabic    tehwithmeeminitial
16#FCA6        thehwithmeeminitial
16#FCA8        jeemwithmeeminitial
16#FCAA        hahwithmeeminitial
16#FCAC        khahwithmeeminitial
16#FCB0        seenwithmeeminitial
16#FCC9    lamjeeminitialarabic    lamwithjeeminitial
16#FCCA    lamhahinitialarabic    lamwithhahinitial
16#FCCB    lamkhahinitialarabic    lamwithkhahinitial
16#FCCC    lammeeminitialarabic    lamwithmeeminitial
16#FCCD        lamwithhehinitial
16#FCCE        meemwithjeeminitial
16#FCCF        meemwithhahinitial
16#FCD0        meemwithkhahinitial
16#FCD1    meemmeeminitialarabic    meemwithmeeminitial
16#FCD2    noonjeeminitialarabic    noonwithjeeminitial
16#FCD3        noonwithhahinitial
16#FCD4        noonwithkhahinitial
16#FCD5    noonmeeminitialarabic    noonwithmeeminitial
16#FCD8        hehwithmeeminitial
16#FCDA        yehwithjeeminitial
16#FCDB        yehwithhahinitial
16#FCDC        yehwithkhahinitial
16#FCDD    yehmeeminitialarabic    yehwithmeeminitial
16#FCF2        shaddawithfathamedial
16#FCF3        shaddawithdammamedial
16#FCF4        shaddawithkasramedial
16#FD30        sheenwithmeeminitial
16#FD3C        alefwithfathatanfinal
16#FD3D        alefwithfathatanisolated
16#FD3E    parenleftaltonearabic    ornateleftparenthesis
16#FD3F    parenrightaltonearabic    ornaterightparenthesis
16#FD88    lammeemhahinitialarabic    lamwithmeemwithhahinitial
16#FDF2    lamlamhehisolatedarabic    allahisolated
16#FDFA    sallallahoualayhewasallamarabic
16#FE30    twodotleadervertical
16#FE31    emdashvertical
16#FE32    endashvertical
16#FE33    underscorevertical
16#FE34    wavyunderscorevertical
16#FE35    parenleftvertical
16#FE36    parenrightvertical
16#FE37    braceleftvertical
16#FE38    bracerightvertical
16#FE39    tortoiseshellbracketleftvertical
16#FE3A    tortoiseshellbracketrightvertical
16#FE3B    blacklenticularbracketleftvertical
16#FE3C    blacklenticularbracketrightvertical
16#FE3D    dblanglebracketleftvertical
16#FE3E    dblanglebracketrightvertical
16#FE3F    anglebracketleftvertical
16#FE40    anglebracketrightvertical
16#FE41    cornerbracketleftvertical
16#FE42    cornerbracketrightvertical
16#FE43    whitecornerbracketleftvertical
16#FE44    whitecornerbracketrightvertical
16#FE49    overlinedashed
16#FE4A    overlinecenterline
16#FE4B    overlinewavy
16#FE4C    overlinedblwavy
16#FE4D    lowlinedashed
16#FE4E    lowlinecenterline
16#FE4F    underscorewavy
16#FE50    commasmall
16#FE52    periodsmall
16#FE54    semicolonsmall
16#FE55    colonsmall
16#FE59    parenleftsmall
16#FE5A    parenrightsmall
16#FE5B    braceleftsmall
16#FE5C    bracerightsmall
16#FE5D    tortoiseshellbracketleftsmall
16#FE5E    tortoiseshellbracketrightsmall
16#FE5F    numbersignsmall
16#FE61    asterisksmall
16#FE62    plussmall
16#FE63    hyphensmall
16#FE64    lesssmall
16#FE65    greatersmall
16#FE66    equalsmall
16#FE69    dollarsmall
16#FE6A    percentsmall
16#FE6B    atsmall
16#FE70        fathatanisolated
16#FE71        fathatanontatweel tatweelwithfathatanabove
16#FE72        dammatanisolated
16#FE74        kasratanisolated
16#FE76        fathaisolated
16#FE77        fathahontatweel fathamedial
16#FE78        dammaisolated
16#FE79        dammahontatweel dammamedial
16#FE7A        kasraisolated
16#FE7B        kasrahontatweel kasramedial
16#FE7C        shaddaisolated
16#FE7D        shaddahontatweel shaddamedial
16#FE7E        sukunisolated
16#FE7F        sukunontatweel sukunmedial
16#FE80        hamzaisolated
16#FE81        alefwithmaddaaboveisolated
